X,Y,STANDORT,VERFAHREN,PARAMETER,EINHEIT,MESSW_BL,LON,LAT,GEO,STRATIGRAP,GENESE,PETROGRAPH,BEMERKUNGE,name,type,name_1,type_1
11.950774138809312,49.987283231409059,StSch 4106 Fichtelgebirge 48,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,392.0000000000,711513,5541390,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.975521832559297,49.986074891646822,StSch 4106 Fichtelgebirge 49,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,177.0000000000,713292,5541326,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.967796150509098,50.004490142084258,StSch 4106 Fichtelgebirge 50,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,639.0000000000,712657,5543351,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.922690598689108,50.045983280656749,StSch 4106 Fichtelgebirge 51,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,245.0000000000,709245,5547836,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,farmland,,
11.945682706611505,50.046400102934115,StSch 4106 Fichtelgebirge 52,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,201.0000000000,710889,5547947,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,
11.956509705282867,50.057081792429727,StSch 4106 Fichtelgebirge 53,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,155.0000000000,711617,5549165,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,
11.977815310610858,50.047549589974452,StSch 4106 Fichtelgebirge 54,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,344.0000000000,713184,5548166,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,
11.91509044788881,50.06141381029834,StSch 4106 Fichtelgebirge 55,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,173.0000000000,708634,5549530,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,
11.909295147665997,50.082025177784715,StSch 4106 Fichtelgebirge 56,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,654.0000000000,708130,5551805,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.897587932804727,50.036960499962731,StSch 4106 Fichtelgebirge 57,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,117.0000000000,707487,5546763,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,
11.893274789045613,50.001929748845079,StSch 4106 Fichtelgebirge 58,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,180.0000000000,707329,5542857,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.875791501769653,50.012296319274235,StSch 4106 Fichtelgebirge 59,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,156.0000000000,706032,5543961,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.87063679464571,50.009428387712681,StSch 4106 Fichtelgebirge 60,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,1134.0000000000,705675,5543628,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.830291113925645,50.010789084565971,StSch 4106 Fichtelgebirge 61,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,501.0000000000,702779,5543669,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.810063077157752,50.01651669709301,StSch 4106 Fichtelgebirge 62,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,289.0000000000,701306,5544251,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.859980166143817,50.032595477062316,StSch 4106 Fichtelgebirge 63,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,1080.0000000000,704813,5546174,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.835622289492848,50.037547672327243,StSch 4106 Fichtelgebirge 64,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,157.0000000000,703048,5546658,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
11.810093769707457,50.039761342110687,StSch 4106 Fichtelgebirge 65,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,373.0000000000,701211,5546835,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,forest
