X,Y,PROJEKT,GEMEINDE,STANDORT,VERF_ODL,PARAM_ODL,EINHEIT_OD,MESSW_ODL,LON,LAT,GEO,STRATIGRAP,GENESE,PETROGRAPH,BEMERKUNGE,name,type,name_1,type_1
12.133665342854828,49.619299345022988,BfS Ortsdosisleistu,,MP 47/BY 4/Pirk,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,66.7000000000,726331,5501021,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,forest
11.842360380874277,49.925976355221401,BfS Ortsdosisleistu,,MP 45/BY 3/Hâ€lzlmÂhle,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,88.3000000000,704002,5534274,845,Oberes Proterozoikum - Altpal„ozoikum,metamorphes Intrusivgestein,"Orthogneis: granitisch, granodioritisch","šberg„nge zu Migmatiten; Metamorphose pr„-? bis frh(?)-variszisch",,,,
12.253804599122475,49.818788992946125,BfS Ortsdosisleistu,,MP 63/BY 3/Schâ€nficht,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,142.8000000000,734045,5523563,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.208715264218148,49.808981392996664,BfS Ortsdosisleistu,,MP 34/BY 4/Lindenhof,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,135.3000000000,730849,5522333,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
11.742179271301406,49.816848817308021,BfS Ortsdosisleistu,,MP 43/BY 13/Vorbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,74.7000000000,697257,5521875,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
12.209243880880797,49.993154253795034,BfS Ortsdosisleistu,,MP 38/BY 3/RosenbÂhl,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,73.9000000000,730009,5542806,791,Terti„r,Effusivgestein: Lava,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","auch einige Vorkommen mit Trachyt, Phonolith, Latit",,,,
11.904578427417469,49.808832296884823,BfS Ortsdosisleistu,,MP 48/BY 3/Troglau,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,67.4000000000,708972,5521424,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
12.536038039327419,49.906359188296484,BfS Ortsdosisleistu,,MP 80/BY 3/Mâ€žhring,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,73.5000000000,753882,5534216,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,farm,,
12.071745121649707,49.631945448051788,BfS Ortsdosisleistu,,MP 48/BY 4/Weiherhammer,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,51.2000000000,721802,5502242,85,"Weichsel-(Wrm-)Kaltzeit; Niederterrasse",fluviatil,"Sand, Kies","z.T. mit Auenlehmdecke (/T,U,S/Lf); z.T. Niederungssande (Talsande) eingeschlossen",,,,
12.32852221515855,49.976619017986536,BfS Ortsdosisleistu,,MP 12/BY 19/Pfaffenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,82.1000000000,738638,5541342,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.413871167997334,49.589665455589895,BfS Ortsdosisleistu,,MP 60/BY 4/Moosbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,85.6000000000,746715,5498609,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.216400054841587,50.012964128469292,BfS Ortsdosisleistu,,MP 23/BY 11/Konnersreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,72.5000000000,730427,5545030,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.118757409633938,49.942023652341845,BfS Ortsdosisleistu,,MP 56/BY 3/Herzogâ€d,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,40.3000000000,723762,5536848,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.416097837647941,49.874483774388615,BfS Ortsdosisleistu,,MP 83/BY 3/Brunn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,79.1000000000,745434,5530273,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
11.660360395949908,49.811812200603839,BfS Ortsdosisleistu,,MP 24/BY 4/Thurndorf,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,40.1000000000,691392,5521103,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
12.410794368108505,49.813856525644027,BfS Ortsdosisleistu,,MP 18/BY 19/Heimhof,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,77.5000000000,745360,5523517,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.414264801579591,49.907673538341285,BfS Ortsdosisleistu,,MP 82/BY 3/Pilmersreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,71.9000000000,745134,5533956,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,farmland,,
12.330878903265218,50.033707241721274,BfS Ortsdosisleistu,,MP 35/BY 3/Egerteich,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,82.4000000000,738524,5547695,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.148760979839063,49.822116089221936,BfS Ortsdosisleistu,,MP 12/BY 4/Pleisdorf,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,152.4000000000,726475,5523610,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,forest
12.305904194728072,49.645651658029223,BfS Ortsdosisleistu,,MP 15/BY 15/Waldau,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,109.1000000000,738640,5504483,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.268991316211094,49.56185903947388,BfS Ortsdosisleistu,,MP 19/BY 15/Dâ€llnitz,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,112.8000000000,736381,5495053,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.326579328654475,49.517398745055559,BfS Ortsdosisleistu,,MP 20/BY 15/Tâ€žnnesberg,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,84.4000000000,740763,5490294,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
12.076280598774714,49.699461894582463,BfS Ortsdosisleistu,,MP 8/BY 4/Weiden,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,64.4000000000,721822,5509760,597,"Trias, Mittlerer Keuper, Gipskeuper, Schilfsandstein",,Tonstein mit Lagen von Steinmergel und Gips,,,,,
11.821696342515065,49.737544376998834,BfS Ortsdosisleistu,,MP 26/BY 4/Stegenthumbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,60.4000000000,703308,5513272,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,,,
12.206883532019569,49.860511109488641,BfS Ortsdosisleistu,,MP 59/BY 3/Falkenberg,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,165.8000000000,730472,5528055,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.152143317727219,49.83285597072976,BfS Ortsdosisleistu,,MP 58/BY 11/Bernstein,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,57.2000000000,726668,5524814,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.371430594290299,49.901532765563744,BfS Ortsdosisleistu,,MP 75/BY 3/Wondreb,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,73.8000000000,742090,5533134,503,"Terti„r, Plioz„n, ungegliedert",,"Ton, Sand, Kies; Braunkohle",,,,,
12.419566424802236,49.703968374512861,BfS Ortsdosisleistu,,MP 11/BY 15/Georgenberg,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,109.2000000000,746548,5511332,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,residential,,
11.959238739790578,49.679078337234344,BfS Ortsdosisleistu,,MP 17/BY 4/HÂtten,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,76.9000000000,713473,5507155,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,,,
12.551814107373509,49.578797558288386,BfS Ortsdosisleistu,,MP 44/BY 19/Eslarn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,83.5000000000,756739,5497863,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
11.944771738566832,49.868173312415166,BfS Ortsdosisleistu,,MP 19/BY 19/Waldeck,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,98.5000000000,711604,5528133,590,"Trias, Keuper",,"Ton-, Sand-, Mergelstein",,,farmland,,
11.989827583817874,49.73311669908859,BfS Ortsdosisleistu,,MP 28/BY 4/Schwarzenbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,66.0000000000,715440,5513249,602,"Trias, Muschelkalk",marine Ablagerungen,"Kalkstein, Mergelstein, Dolomitstein, Tonstein",,,,,
12.107633909803974,49.684346349698579,BfS Ortsdosisleistu,,MP 25/BY 15/Neunkirchen,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,61.0000000000,724152,5508173,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,,,forest
12.213760803465419,49.792395444437552,BfS Ortsdosisleistu,,MP 6/BY 15/Walpertsreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,122.9000000000,731291,5520505,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.067471834637333,49.596125962156734,BfS Ortsdosisleistu,,MP 31/BY 19/Weissenbrunn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,89.2000000000,721656,5498248,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
12.384292237502821,49.995813318435076,BfS Ortsdosisleistu,,MP 78/BY 3/PfudermÂhle,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,71.3000000000,742539,5543655,712,"Ordovizium, Frauenbach-Schichten, Tremadoc, Phycoden-Schichten,Tremadoc bis Arenig",marine Ablagerungen,"Tonschiefer, Quarzit, Ger”llquarzit",bei Prag: unteres und mittleres Ordovizium,,,,
11.709212202769105,49.819792713852628,BfS Ortsdosisleistu,,MP 6/BY 4/Hâ€flas,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,93.4000000000,694874,5522116,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,forest
12.057757508561144,49.564966604047797,BfS Ortsdosisleistu,,MP 71/BY 4/Neuersdorf,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,64.5000000000,721095,5494756,590,"Trias, Keuper",,"Ton-, Sand-, Mergelstein",,,,,
11.969536697591424,49.685166041003455,BfS Ortsdosisleistu,,MP 49/BY 15/HÂtten,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,67.2000000000,714189,5507861,85,"Weichsel-(Wrm-)Kaltzeit; Niederterrasse",fluviatil,"Sand, Kies","z.T. mit Auenlehmdecke (/T,U,S/Lf); z.T. Niederungssande (Talsande) eingeschlossen",,commercial,,
12.067969005133202,49.634672703198937,BfS Ortsdosisleistu,,MP 26/BY 15/Weiherhammer,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,71.3000000000,721517,5502534,24,Holoz„n,fluviatil,"Sand, Kies, Schotter",z.T. unter Aulehmdecke [in den Alpen mit pleistoz„nen Terassen und Hangablagerungen,,,,
12.217485977613562,49.729089671418237,BfS Ortsdosisleistu,,MP 29/BY 4/Stâ€rnstein,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,84.1000000000,731861,5513480,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
12.41731140710524,49.553160899659552,BfS Ortsdosisleistu,,MP 61/BY 4/RÂckersrieth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,68.9000000000,747148,5494563,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,
11.985547342260054,49.642092389621332,BfS Ortsdosisleistu,,MP 50/BY 15/DÂrnast,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,72.3000000000,715534,5503119,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
11.926488100997117,49.898405152061379,BfS Ortsdosisleistu,,MP 51/BY 3/Zinst,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,81.7000000000,710159,5531442,602,"Trias, Muschelkalk",marine Ablagerungen,"Kalkstein, Mergelstein, Dolomitstein, Tonstein",,,residential,,
12.069954921578374,49.859381395954117,BfS Ortsdosisleistu,,MP 53/BY 3/Siegritz,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,67.5000000000,720638,5527517,858,Oberes Proterozoikum,berwiegend metamorph,,Typische Gesteine: Amphibolite,,,,
12.333939428956651,49.857588839224114,BfS Ortsdosisleistu,,MP 56/BY 11/LodermÂhl,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,107.2000000000,739616,5528129,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,farm,,
11.932239055277408,49.954620809002463,BfS Ortsdosisleistu,,MP 43/BY 3/Ebnath,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,82.9000000000,710327,5537707,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
12.337261822100693,49.61348622782544,BfS Ortsdosisleistu,,MP 14/BY 15/Oberlind,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,112.4000000000,741062,5501008,858,Oberes Proterozoikum,berwiegend metamorph,,Typische Gesteine: Amphibolite,,,,
11.987844165297696,49.643175654476551,BfS Ortsdosisleistu,,MP 49/BY 4/NeumÂhle,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,75.0000000000,715695,5503246,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,forest
11.865657243238251,49.91043310052639,BfS Ortsdosisleistu,,MP 49/BY 11/Immenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,56.9000000000,705740,5532610,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,commercial,,
11.881652955905196,49.736463143988423,BfS Ortsdosisleistu,,MP 27/BY 4/Gâ€ssenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,101.5000000000,707632,5513316,602,"Trias, Muschelkalk",marine Ablagerungen,"Kalkstein, Mergelstein, Dolomitstein, Tonstein",,,residential,,
12.062711303315272,49.591942702624742,BfS Ortsdosisleistu,,MP 74/BY 4/WeiÃ¡enbrunn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,83.3000000000,721331,5497769,659,"Perm, Oberrotliegend","fluviatil, fanglomeratisch","Sandstein, Tonstein",Fanglomerat,,,,
12.124661880994395,49.988205098834385,BfS Ortsdosisleistu,,MP 39/BY 3/Reutlas,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,105.9000000000,723971,5541999,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
12.319877030649787,49.725684594483042,BfS Ortsdosisleistu,,MP 8/BY 15/Altenhammer,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,52.1000000000,739255,5513423,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
12.483577670053787,49.636351530933723,BfS Ortsdosisleistu,,MP 12/BY 15/Waidhaus,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,80.7000000000,751511,5504029,842,Karbon bis Rotliegend,Gesteinsgang,mikrogranitoides Ganggestein,hierher auch sehr untergeordnet basische Ganggesteine,,,,
11.863527812912643,49.804357970780217,BfS Ortsdosisleistu,,MP 42/BY 15/PreiÃ¡ach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,84.8000000000,706038,5520813,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,forest
11.641426499446172,49.733152841230172,BfS Ortsdosisleistu,,MP 23/BY 4/Gâ€ttersdorf,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,27.1000000000,690338,5512311,579,"Jura, Oberer Jura (Malm)","marine Ablagerungen, marin - brackisch","Mergelstein, Kalkstein, Dolomitstein, Kalksandstein",,,,,
11.975092653981129,49.824567013136232,BfS Ortsdosisleistu,,MP 49/BY 3/Hessenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,56.7000000000,713975,5523372,546,"Kreide, Oberkreide",limnisch - fluviatile Ablagerungen,"Sand, Ton; gelegentlich Konglomerat",epikontinentale Fazies,,,,
12.274604388373428,49.916860839969353,BfS Ortsdosisleistu,,MP 72/BY 3/MÂnchsgrÂn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,88.8000000000,735064,5534529,508,"Terti„r, Mioz„n",fluviatil - limnische Ablagerungen,"Kies, Sand, Ton",,,residential,,
12.368666094340465,49.511069213736668,BfS Ortsdosisleistu,,MP 53/BY 4/Ã–dmiesbach,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,93.2000000000,743840,5489726,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
11.850367344368612,49.766547624035631,BfS Ortsdosisleistu,,MP 3/BY 4/Zettlitz,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,69.8000000000,705251,5516574,85,"Weichsel-(Wrm-)Kaltzeit; Niederterrasse",fluviatil,"Sand, Kies","z.T. mit Auenlehmdecke (/T,U,S/Lf); z.T. Niederungssande (Talsande) eingeschlossen",,,,forest
12.549056147872401,49.593979985179381,BfS Ortsdosisleistu,,MP 22/BY 15/Eslarn,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,85.3000000000,756460,5499541,761,Oberes Proterozoikum,metamorph,Paragneis,,,,,forest
11.862995340266895,49.906180769787092,BfS Ortsdosisleistu,,MP 46/BY 3/Immenreuth,NaJ-Szintillomet,Ortsdosisleistu,nSv h-1,68.9000000000,705567,5532130,608,"Trias, Buntsandstein ungegliedert",,"Sandstein, Schluffstein, Tonstein",,,commercial,,
