"geo";"petrograph";"odl_min";"odl_avg";"odl_max"
24;"Sand, Kies, Schotter";71.300000000;79.7333333333333333;89.200000000
85;"Sand, Kies";51.200000000;68.2400000000000000;79.300000000
503;"Ton, Sand, Kies; Braunkohle";72.600000000;73.2000000000000000;73.800000000
508;"Kies, Sand, Ton";57.800000000;74.1400000000000000;88.800000000
545;"Kalk- und Mergelstein, Tonstein, Sandstein";52.800000000;52.8000000000000000;52.800000000
546;"Sand, Ton; gelegentlich Konglomerat";30.300000000;57.4500000000000000;83.600000000
579;"Mergelstein, Kalkstein, Dolomitstein, Kalksandstein";27.100000000;36.4500000000000000;45.800000000
583;"Ton, Tonmergelstein, Kalksandstein, Mergelstein, oolithischer Kalkstein;Eisenerz-Flze";45.500000000;45.5000000000000000;45.500000000
590;"Ton-, Sand-, Mergelstein";64.500000000;81.5000000000000000;98.500000000
596;"Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen";40.100000000;74.6545454545454545;93.800000000
597;"Tonstein mit Lagen von Steinmergel und Gips";48.900000000;69.9000000000000000;86.900000000
602;"Kalkstein, Mergelstein, Dolomitstein, Tonstein";58.500000000;90.8666666666666667;137.20000000
608;"Sandstein, Schluffstein, Tonstein";56.900000000;74.3125000000000000;116.70000000
659;"Sandstein, Tonstein";66.700000000;79.7100000000000000;94.000000000
660;"Schieferton, Sandstein, Konglomerat, Kohle, Porphyrbreccie, Tuff";68.800000000;76.4666666666666667;85.800000000
712;"Tonschiefer, Quarzit, Gerllquarzit";71.300000000;71.3000000000000000;71.300000000
715;"Phyllit";40.300000000;74.5500000000000000;88.200000000
721;"Glimmerschiefer";67.500000000;77.0200000000000000;88.700000000
760;"Glimmerschiefer";45.900000000;82.3705882352941176;152.40000000
761;"Paragneis";61.000000000;82.3333333333333333;112.80000000
791;"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit";71.700000000;72.8000000000000000;73.900000000
833;"Granit, Granodiorit";89.400000000;96.5500000000000000;103.70000000
834;"Granit";57.200000000;110.8607142857142857;189.40000000
838;"Diorit, Redwitzit";86.200000000;89.2000000000000000;92.200000000
842;"mikrogranitoides Ganggestein";52.900000000;65.0000000000000000;80.700000000
845;"Orthogneis: granitisch, granodioritisch";54.300000000;76.0000000000000000;88.300000000
847;"Meta-Granit, Granitoide";117.50000000;117.5000000000000000;117.50000000
858;"";57.700000000;75.7000000000000000;112.40000000
