"geo";"petrograph";"rl_1g_min";"rl_1g_avg";"rl_1g_max"
24;"Sand, Kies, Schotter";170.00000000;170.0000000000000000;170.00000000
503;"Ton, Sand, Kies; Braunkohle";56.000000000;56.0000000000000000;56.000000000
508;"Kies, Sand, Ton";17.000000000;38.1538461538461538;73.000000000
546;"Sand, Ton; gelegentlich Konglomerat";33.000000000;41.6666666666666667;47.000000000
583;"Ton, Tonmergelstein, Kalksandstein, Mergelstein, oolithischer Kalkstein;Eisenerz-Flze";86.000000000;86.0000000000000000;86.000000000
596;"Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen";88.000000000;88.0000000000000000;88.000000000
597;"Tonstein mit Lagen von Steinmergel und Gips";22.000000000;29.3333333333333333;39.000000000
602;"Kalkstein, Mergelstein, Dolomitstein, Tonstein";29.000000000;30.4285714285714286;34.000000000
608;"Sandstein, Schluffstein, Tonstein";8.0000000000;24.6666666666666667;39.000000000
659;"Sandstein, Tonstein";21.000000000;42.7500000000000000;60.000000000
660;"Schieferton, Sandstein, Konglomerat, Kohle, Porphyrbreccie, Tuff";19.000000000;23.5000000000000000;28.000000000
715;"Phyllit";8.0000000000;118.2400000000000000;411.00000000
720;"Phyllit, Kalkphyllit, Quarzit, Grauwacke";43.000000000;258.1250000000000000;769.00000000
721;"Glimmerschiefer";20.000000000;79.8000000000000000;264.00000000
750;"Hornblendebndergneis";25.000000000;69.0000000000000000;146.00000000
760;"Glimmerschiefer";21.000000000;101.0000000000000000;537.00000000
761;"Paragneis";26.000000000;61.0000000000000000;110.00000000
766;"Marmor (Kalk-, Dolomit-, Kalksilikatfels-)";29.000000000;179.3750000000000000;608.00000000
770;"Paragneis";9.0000000000;134.0000000000000000;361.00000000
771;"Amphibolit";145.00000000;145.0000000000000000;145.00000000
791;"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit";27.000000000;186.3333333333333333;496.00000000
833;"Granit, Granodiorit";30.000000000;221.0000000000000000;845.00000000
834;"Granit";30.000000000;253.3939393939393939;838.00000000
838;"Diorit, Redwitzit";52.000000000;64.5000000000000000;77.000000000
845;"Orthogneis: granitisch, granodioritisch";19.000000000;149.7500000000000000;515.00000000
858;"";22.000000000;81.7500000000000000;175.00000000
