"geo";"petrograph";"rl_min";"rl_avg";"rl_max"
24;"Sand, Kies, Schotter";0.0000000000;102.1250000000000000;564.00000000
85;"Sand, Kies";27.000000000;113.1521739130434783;537.00000000
503;"Ton, Sand, Kies; Braunkohle";22.000000000;133.6000000000000000;838.00000000
508;"Kies, Sand, Ton";0.0000000000;106.4540229885057471;519.00000000
546;"Sand, Ton; gelegentlich Konglomerat";20.000000000;65.4000000000000000;427.00000000
583;"Ton, Tonmergelstein, Kalksandstein, Mergelstein, oolithischer Kalkstein;Eisenerz-Flze";14.000000000;116.2000000000000000;615.00000000
590;"Ton-, Sand-, Mergelstein";30.000000000;46.5000000000000000;63.000000000
596;"Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen";14.000000000;58.9230769230769231;211.00000000
597;"Tonstein mit Lagen von Steinmergel und Gips";22.000000000;44.1666666666666667;74.000000000
602;"Kalkstein, Mergelstein, Dolomitstein, Tonstein";16.000000000;57.5909090909090909;255.00000000
608;"Sandstein, Schluffstein, Tonstein";0.0000000000;59.4814814814814815;422.00000000
659;"Sandstein, Tonstein";8.0000000000;61.0277777777777778;359.00000000
660;"Schieferton, Sandstein, Konglomerat, Kohle, Porphyrbreccie, Tuff";9.0000000000;62.3275862068965517;268.00000000
670;"Grauwacke, Tonschiefer, Plattenkalk, Kieselkalk, Kieselschiefer, Alaunschiefer";309.00000000;459.0000000000000000;609.00000000
679;"Tonschiefer, Quarzit, Kieselschiefer, Sandstein, Kalkstein, basischer Tuff";49.000000000;173.5000000000000000;317.00000000
712;"Tonschiefer, Quarzit, Gerllquarzit";0.0000000000;95.3888888888888889;320.00000000
715;"Phyllit";0.0000000000;159.1875000000000000;2471.0000000
720;"Phyllit, Kalkphyllit, Quarzit, Grauwacke";33.000000000;303.1929824563157895;2322.0000000
721;"Glimmerschiefer";9.0000000000;139.9833333333333333;718.00000000
750;"Hornblendebndergneis";25.000000000;668.4000000000000000;5446.0000000
760;"Glimmerschiefer";0.0000000000;140.0776397515527950;3043.0000000
761;"Paragneis";19.000000000;129.5430107526881720;685.00000000
766;"Marmor (Kalk-, Dolomit-, Kalksilikatfels-)";9.0000000000;167.4285714285714286;608.00000000
770;"Paragneis";3.0000000000;112.6250000000000000;361.00000000
771;"Amphibolit";9.0000000000;110.7000000000000000;320.00000000
791;"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit";25.000000000;133.8750000000000000;597.00000000
833;"Granit, Granodiorit";16.000000000;316.3333333334615385;976.00000000
834;"Granit";0.0000000000;294.8163841807909605;5125.0000000
838;"Diorit, Redwitzit";0.0000000000;104.0277777777777778;363.00000000
842;"mikrogranitoides Ganggestein";0.0000000000;;
845;"Orthogneis: granitisch, granodioritisch";17.000000000;196.0909090909090909;1059.0000000
858;"";0.0000000000;103.2916666666666667;786.00000000
999;"";212.00000000;365.0000000000000000;518.00000000
