"geo";"petrograph";"rl_ke_min";"rl_ke_avg";"rl_ke_max"
24;"Sand, Kies, Schotter";38.000000000;138.1000000000000000;564.00000000
85;"Sand, Kies";32.000000000;158.8636363636363636;537.00000000
503;"Ton, Sand, Kies; Braunkohle";77.000000000;457.5000000000000000;838.00000000
508;"Kies, Sand, Ton";20.000000000;127.7368421052631579;519.00000000
546;"Sand, Ton; gelegentlich Konglomerat";20.000000000;114.6000000000000000;427.00000000
583;"Ton, Tonmergelstein, Kalksandstein, Mergelstein, oolithischer Kalkstein;Eisenerz-Flze";36.000000000;192.2500000000000000;615.00000000
590;"Ton-, Sand-, Mergelstein";63.000000000;63.0000000000000000;63.000000000
596;"Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen";28.000000000;38.1250000000000000;78.000000000
597;"Tonstein mit Lagen von Steinmergel und Gips";46.000000000;51.8571428571428571;74.000000000
602;"Kalkstein, Mergelstein, Dolomitstein, Tonstein";25.000000000;67.8800000000000000;255.00000000
608;"Sandstein, Schluffstein, Tonstein";7.0000000000;68.1304347826086957;422.00000000
659;"Sandstein, Tonstein";19.000000000;77.4848484848484848;359.00000000
660;"Schieferton, Sandstein, Konglomerat, Kohle, Porphyrbreccie, Tuff";9.0000000000;54.6250000000000000;166.00000000
670;"Grauwacke, Tonschiefer, Plattenkalk, Kieselkalk, Kieselschiefer, Alaunschiefer";309.00000000;309.0000000000000000;309.00000000
679;"Tonschiefer, Quarzit, Kieselschiefer, Sandstein, Kalkstein, basischer Tuff";108.00000000;212.5000000000000000;317.00000000
712;"Tonschiefer, Quarzit, Gerllquarzit";36.000000000;136.4444444444444444;320.00000000
715;"Phyllit";36.000000000;235.9354838709677419;2471.0000000
720;"Phyllit, Kalkphyllit, Quarzit, Grauwacke";48.000000000;393.0000000000000000;1493.0000000
721;"Glimmerschiefer";46.000000000;185.2272727272727273;718.00000000
750;"Hornblendebndergneis";66.000000000;1563.5000000000000000;5446.0000000
760;"Glimmerschiefer";16.000000000;158.9253731343283582;813.00000000
761;"Paragneis";25.000000000;150.3289473684210526;685.00000000
766;"Marmor (Kalk-, Dolomit-, Kalksilikatfels-)";9.0000000000;181.3125000000000000;457.00000000
770;"Paragneis";57.000000000;98.0000000000000000;139.00000000
771;"Amphibolit";81.000000000;207.6666666666666667;320.00000000
791;"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit";41.000000000;129.0000000000000000;448.00000000
833;"Granit, Granodiorit";35.000000000;395.9500000000000000;935.00000000
834;"Granit";30.000000000;370.5500000000000000;5125.0000000
838;"Diorit, Redwitzit";30.000000000;111.0625000000000000;286.00000000
845;"Orthogneis: granitisch, granodioritisch";17.000000000;209.1428571428571429;823.00000000
858;"";20.000000000;106.7931034482758621;786.00000000
999;"";518.00000000;518.0000000000000000;518.00000000
