GID,ID_2,NAME_2,AVG_MW_BL,AVG_MW_ODL,AVG_MW_RL,COUNT_BL,COUNT_ODL,COUNT_RL
1,48,Amberg-Sulzbach,17.11111,58.43333,0,9,3,0
2,49,Amberg,0,0,0,0,0,0
3,60,Bayreuth,0,0,0,0,0,0
4,61,Bayreuth,291.4,66.75,388.08974,15,2,13
5,63,Cham,0,0,0,0,0,0
6,85,Hof,0,0,0,0,0,0
7,86,Hof,110.11111,0,215.51075,9,0,31
8,92,Kronach,0,0,0,0,0,0
9,93,Kulmbach,0,0,0,0,0,0
10,106,NuernbergerLand,0,0,0,0,0,0
11,110,NeumarktinderOberpfalz,0,0,0,0,0,0
12,112,NeustadtanderWaldnaab,51.31429,80.86354,109.7619,175,96,336
13,127,Schwandorf,54.38462,79.06667,71.08333,13,6,6
14,133,Tirschenreuth,90.8,87.16269,146.39588,145,67,469
15,139,WeideninderOberpfalz,45.75,71.36,65.625,8,5,24
16,141,WunsiedelimFichtelgebirge,198.31707,105.9,346.26412,82,1,118
17,364,Vogtlandkreis,314.33333,0,0,6,0,0
